"","date","temp","dew_pt","hum","wind_spd","wind_gust","dir","vis","pressure","wind_chill","heat_index","precip","precip_rate","precip_total","cond","fog","rain","snow","hail","thunder","tornado"
"119",2018-01-16 14:30:00,83,73,64,6.9,NA,"East",2,29.87,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"120",2018-01-16 17:30:00,77,71,78,4.6,NA,"East",2,29.87,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"121",2018-01-16 20:30:00,73,69,85,0,NA,"",2,29.93,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"122",2018-01-16 23:30:00,68,66,90,2.3,NA,"NNW",1,29.93,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"123",2018-01-17 02:30:00,66,64,90,2.3,NA,"NNW",1,29.91,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"124",2018-01-17 05:30:00,64,62,90,4.6,NA,"NNW",1,29.9,NA,NA,NA,NA,NA,"Mist",0,0,0,0,0,0
"125",2018-01-17 08:30:00,66,64,91,4.6,NA,"NNW",1,30,NA,NA,NA,NA,NA,"Mist",0,0,0,0,0,0
"126",2018-01-17 11:30:00,79,69,64,2.3,NA,"NE",2,29.99,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"127",2018-01-17 14:30:00,82,72,65,4.6,NA,"East",2,29.9,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"128",2018-01-17 17:30:00,76,68,71,3.5,NA,"SSE",2,29.89,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"129",2018-01-17 20:30:00,72,70,91,0,NA,"",2,29.94,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"130",2018-01-17 23:30:00,67,66,96,2.3,NA,"NW",1,29.94,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"131",2018-01-18 02:30:00,65,64,97,4.6,NA,"NW",1,29.91,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"132",2018-01-18 05:30:00,60,58,93,4.6,NA,"NW",1,29.91,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"133",2018-01-18 08:30:00,61,58,85,4.6,NA,"NNW",1,30.01,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"134",2018-01-18 11:30:00,78,66,58,2.3,NA,"ENE",2,30,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"135",2018-01-18 14:30:00,81,67,53,4.6,NA,"ENE",2,29.91,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"136",2018-01-18 17:30:00,77,65,58,2.3,NA,"ESE",2,29.91,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"137",2018-01-18 20:30:00,71,65,78,0,NA,"",2,29.95,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"138",2018-01-18 23:30:00,66,63,87,4.6,NA,"NW",1,29.95,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"139",2018-01-19 02:30:00,64,61,87,2.3,NA,"NW",1,29.92,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"140",2018-01-19 05:30:00,61,58,85,2.3,NA,"NW",1,29.96,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"141",2018-01-19 08:30:00,60,58,89,4.6,NA,"NW",1,30.01,NA,NA,NA,NA,NA,"Haze",0,0,0,0,0,0
"142",2018-01-19 11:30:00,79,65,54,4.6,NA,"NE",2,30.01,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"143",2018-01-19 14:30:00,82,70,59,4.6,NA,"East",2,29.93,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"144",2018-01-19 17:30:00,77,69,71,4.6,NA,"ESE",2,29.92,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
"145",2018-01-19 20:30:00,70,64,75,0,NA,"",2,29.97,NA,NA,NA,NA,NA,"",0,0,0,0,0,0
